boat,phrf,loa,displacement
Cheoy Lee Pedrick 38,138,38.30,19025
Cheoy Lee Pedrick 41 CB,150,41.00,23000
Cherubini 44,141,50.50,28000
Chesapeake 32,204,32.00,
Chris Craft 26 Pawnee,210,26.00,4800
Chris Craft 32 Cherokee,204,32.80,19000
Chris Craft 37 Apache,153,37.00,14280
Chris Craft 42 Commanche,123,42.00,17641
Chris Craft Capri 26,225,26.00,3920
Chris Craft Capri 30,240,30.00,11740
Chrysler 22 FK,252,22.00,3000
Chrysler 26 CB,228,26.00,5000
Chrysler 26 FK,222,26.00,5500
Chrysler 27 IB,168,27.30,8000
Class 40-1,,39.90,10760
Class 40-3,-3,40.00,9912
Class 40-4,-6,39.99,9921
Clipper Marine 21,270,21.00,1650
CM 1200,18,40.00,10050
Colgate 26,156,25.70,2600
Columbia 10.7 (35),156,35.20,13900
Columbia 22,267,22.00,2000
Columbia 23T,276,22.60,2300
Columbia 24 Challenger,258,24.00,
Columbia 24 Contender,270,24.00,3500
Columbia 26 Mk II,240,26.00,6120
Columbia 26-1 IB,246,26.00,
Columbia 28,228,27.60,5000
Columbia 28 Mark II,222,28.00,7000
Columbia 29 Defender,222,28.00,8400
Columbia 30,180,30.00,10500
Columbia 32 Sabre,210,32.00,4500
Columbia 32 Sabre 5.5,201,32.00,9450
Columbia 32-2,51,32.00,4400
Columbia 34,210,34.00,10000
Columbia 34-2,168,34.00,12000
Columbia 36,162,36.00,13200
Columbia 38,204,38.00,16500
Columbia 39,186,39.00,
Columbia 39-2,174,39.00,
Columbia 39-3,120,39.00,
Columbia 40 Centerboard,174,40.00,19500
Columbia 43,120,43.30,22200
Columbia 43-2,114,43.30,22200
Columbia 43K,114,43.30,20000
Columbia 45 Motor Sailor,186,45.30,27000
Columbia 50,108,50.00,22000
Columbia 50 Yawl,108,50.00,34000
Columbia 8.3,213,27.20,7300
Columbia 8.7,204,29.00,8500
Columbia 9.6,195,32.00,10500
"Columbia Mod 30 ""Blue Hornet""",177,30.00,10500
Comet 1050,156,33.30,11023
Concordia 39 Fractional,177,39.00,
Concordia 39 Fractional Yawl,180,39.00,
Concordia 39 Masthead Yawl,189,39.00,18000
