boat,phrf,loa
"Custom ""Aurora""",-78,66.70
"Custom ""Avalanche""",6,41.00
"Custom ""Bandito""",33,45.60
"Custom ""Barfly""",114,34.40
"Custom ""Barnswallow""",141,39.40
"Custom ""Barrister III""",48,42.70
"Custom ""Bingo""",84,35.70
"Custom ""Blackbird""",69,41.00
"Custom ""Blackwing""",54,30.00
"Custom ""Blue Bayou""",138,35.50
"Custom ""Blue Streak""",36,39.20
"Custom ""Blue Yankee""",36,43.40
"Custom ""Blue Yankee""",-21,47.40
"Custom ""Boomer G""",78,42.70
"Custom ""Bootlegger""",87,42.30
"Custom ""Brandywine""",84,39.80
"Custom ""Brigadoon""",48,57.00
"Custom ""Brigand""",-24,49.70
"Custom ""Bright Star""",-9,46.50
"Custom ""Bright Star""",-138,77.80
"Custom ""Broadway""",48,51.60
"Custom ""Buckaroo""",57,39.50
"Custom ""Bulldog""",66,40.70
"Custom ""Bullfrog""",87,30.00
"Custom ""Bully""",-9,49.70
"Custom ""Bushranger""",93,21.40
"Custom ""Cabaret""",-6,47.20
"Custom ""Calvados""",162,32.00
"Custom ""Capriccio""",132,33.20
"Custom ""Caprice""",36,51.50
"Custom ""Carina""",60,48.20
"Custom ""Carrera""",-150,80.10
"Custom ""Cayuse""",24,36.00
"Custom ""Celebration""",72,40.30
"Custom ""Celebration""",36,44.90
"Custom ""Chaika""",117,34.30
"Custom ""Chantyman""",165,32.00
"Custom ""Chasing Rainbows""",66,41.50
"Custom ""China Doll""",147,34.50
"Custom ""Christopher Dragon""",36,43.00
"Custom ""Christopher Dragon""",66,45.00
"Custom ""Chute One""",84,37.40
"Custom ""Claddagh""",75,41.50
"Custom ""Claddagh""",57,40.00
"Custom ""Conamor""",75,39.00
"Custom ""Congere""",-90,80.00
"Custom ""Corsta""",81,60.00
"Custom ""Counterpoint""",159,29.10
"Custom ""Country Pride""",81,43.90
"Custom ""Courageous""",6,66.50
"Custom ""Danger Zone""",-21,32.00
"Custom ""Dauntless""",-30,65.00
"Custom ""Dawn Treader""",84,39.50
"Custom ""DEBBIE'S DIAMOND""",63,39.40
"Custom ""Defiance""",33,51.50
"Custom ""Denali""",81,42.30
"Custom ""Dhobie""",99,41.50
"Custom ""Diane""",,49.80
"Custom ""Different Drummer""",63,40.00
"Custom ""Diogenes""",105,36.00
"Custom ""Donnybrook""",-87,72.30
"Custom ""Dragon Fire""",69,41.70
"Custom ""Eclipse""",48,40.30
"Custom ""Elizabeth""",168,36.90
"Custom ""Elske""",123,48.20
"Custom ""Elusive""",,55.00
"Custom ""Emily""",120,43.80
"Custom ""EnCharette""",72,36.00
